Name;Time;X;Y
jim;77;-232,5970870717412;272,3726341940897
johnMclain;77;-528,8783248503335;532,8659282276991
LuckyLuke;77;-552,4776643077139;556,3760071088536
soc;77;-50,0;-50,0
BadJoe;77;6,0;-2,0
counter1;78;10,0;10,0
DLH123;78;20,0;20,0
jim;78;-236,13104912690466;275,90973925227854
johnMclain;78;-535,949310719373;539,937077981441
LuckyLuke;78;-559,5480884742423;563,4477185074736
soc;78;-50,0;-50,0
BadJoe;78;6,0;-2,0
counter1;79;10,0;10,0
DLH123;79;20,0;20,0
jim;79;-239,66505460463065;279,44680092595667
johnMclain;79;-543,0202987267419;547,0082255969023
LuckyLuke;79;-566,618528737954;570,5194138118037
soc;79;-50,0;-50,0
BadJoe;79;6,0;-2,0
counter1;80;10,0;10,0
DLH123;80;20,0;20,0
jim;80;-243,19910172998195;282,9838209875051
johnMclain;80;-550,0912887898173;554,0793711567029
LuckyLuke;80;-573,6889845024272;577,5910936180893
soc;80;-50,0;-50,0
BadJoe;80;6,0;-2,0
counter1;81;10,0;10,0
DLH123;81;20,0;20,0
jim;81;-246,7331888234635;286,52080111406605
johnMclain;81;-557,1622808301789;561,1505147392603
LuckyLuke;81;-580,7594552003452;584,6627584934834
soc;81;-50,0;-50,0
BadJoe;81;6,0;-2,0
counter1;82;10,0;10,0
DLH123;82;20,0;20,0
jim;82;-250,2673142946921;290,0577428938545
johnMclain;82;-564,233274773345;568,2216564190535
LuckyLuke;82;-587,8299402917427;591,7344089777993
soc;82;-50,0;-50,0
BadJoe;82;6,0;-2,0
counter1;83;10,0;10,0
DLH123;83;20,0;20,0
jim;83;-253,80147663656317;293,5946478319749
johnMclain;83;-571,3042705485282;575,2927962668674
LuckyLuke;83;-594,9004392623767;598,8060455851387
soc;83;-50,0;-50,0
BadJoe;83;6,0;-2,0
counter1;84;10,0;10,0
DLH123;84;20,0;20,0
jim;84;-257,33567441986975;297,13151735578697
johnMclain;84;-578,3752680884094;582,3639343500188
LuckyLuke;84;-601,9709516222132;605,8776688054043
soc;84;-50,0;-50,0
BadJoe;84;6,0;-2,0
counter1;85;10,0;10,0
DLH123;85;20,0;20,0
jim;85;-260,86990628833377;300,66835281986124
johnMclain;85;-585,4462673289279;589,4350707325663
LuckyLuke;85;-609,0414769040189;612,949279105707
soc;85;-50,0;-50,0
